sentence,label,idx,processed_text
( and probably should have ) ,0,6840,probably
"other than a mildly engaging central romance , hospital is sickly entertainment at best and mind-destroying cinematic pollution at worst . ",0,6841,mildly engaging central romance hospital sickly entertainment best mind destroying cinematic pollution worst
"off with an inauspicious premise , mopes through a dreary tract of virtually plotless meanderings and then ends with a whimper . ",0,6842,inauspicious premise mopes dreary tract virtually plotless meanderings ends whimper
think of this dog of a movie as the cinematic equivalent of high humidity ,0,6843,think dog movie cinematic equivalent high humidity
"it was , as my friend david cross would call it , ` hungry-man portions of bad ' ",0,6844,friend david cross would call hungry man portions bad
with any viewer forced to watch him try out so many complicated facial expressions ,0,6845,viewer forced watch try many complicated facial expressions
that the movie has no idea of it is serious or not ,0,6846,movie idea serious
-- as long as you 're wearing the somewhat cumbersome 3d goggles ,0,6847,long wearing somewhat cumbersome 3d goggles
"philosophers , not filmmakers ",0,6848,philosophers filmmakers
is to see two academy award winning actresses ( and one academy award winning actor ) succumb to appearing in this junk that 's tv sitcom material at best . ,0,6849,see two academy award winning actresses one academy award winning actor succumb appearing junk tv sitcom material best
the spectacle ,1,6850,spectacle
"uproarious humor with an underlying seriousness that sneaks up on the viewer , providing an experience that is richer than anticipated ",1,6851,uproarious humor underlying seriousness sneaks viewer providing experience richer anticipated
"'s a dangerous , secretly unhinged guy who could easily have killed a president because it made him feel powerful . ",0,6852,dangerous secretly unhinged guy could easily killed president made feel powerful
represents an auspicious feature debut for chaiken ,1,6853,represents auspicious feature debut chaiken
the choppy editing ,0,6854,choppy editing
"that you hope britney wo n't do it one more time , as far as ",0,6855,hope britney wo n one time far
"it 's so poorly made , on all levels , that it does n't even qualify as a spoof of such ",0,6856,poorly made levels n even qualify spoof
even sexy ,1,6857,even sexy
"that will thrill you , touch you and make you ",1,6858,thrill touch make
"acting -- more accurately , it 's moving ",1,6859,acting accurately moving
adaptation is intricately constructed and ,1,6860,adaptation intricately constructed
` triumph ' ,1,6861,triumph
"accomplishes in his chilling , unnerving film ",1,6862,accomplishes chilling unnerving film
"has a dashing and resourceful hero ; a lisping , reptilian villain ; big fights ; big hair ; lavish period scenery ; and a story ",1,6863,dashing resourceful hero lisping reptilian villain big fights big hair lavish period scenery story
astounding ,1,6864,astounding
may ... work as a jaunt down memory lane for teens and young adults who grew up on televised scooby-doo shows or reruns . ,1,6865,may work jaunt memory lane teens young adults grew televised scooby doo shows reruns
remembering this refreshing visit ,1,6866,remembering refreshing visit
of expository material ,1,6867,expository material
its own most damning censure ,0,6868,damning censure
"the story is a rather simplistic one : grief drives her , love drives him , and a second chance to find love in the most unlikely place - it struck a chord in me . ",1,6869,story rather simplistic one grief drives love drives second chance find love unlikely place struck chord
"this properly intense , claustrophobic tale of obsessive love ",1,6870,properly intense claustrophobic tale obsessive love
"costner 's warm-milk persona is just as ill-fitting as shadyac 's perfunctory directing chops , and ",0,6871,costner warm milk persona ill fitting shadyac perfunctory directing chops
one of the best of a growing strain of daring films ,1,6872,one best growing strain daring films
"the cultural and economic subtext , bringing richer meaning to the story 's morals ",1,6873,cultural economic subtext bringing richer meaning story morals
particular interest ,1,6874,particular interest
", despite downplaying her good looks , carries a little too much ai n't - she-cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff . ",0,6875,despite downplaying good looks carries little much ai n cute baggage lead role troubled determined homicide cop quite pull heavy stuff
tribute ,1,6876,tribute
has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end ,1,6877,right stuff silly summer entertainment enough laughs sustain interest end
ian holm conquers france as an earthy napoleon ,1,6878,ian holm conquers france earthy napoleon
"terminally bland , painfully slow and ",0,6879,terminally bland painfully slow
have the worthy successor to a better tomorrow and the killer which they have been patiently waiting for . ,1,6880,worthy successor better tomorrow killer patiently waiting
one of the great minds of our times interesting and accessible ,1,6881,one great minds times interesting accessible
"the biggest names in japanese anime , with impressive results ",1,6882,biggest names japanese anime impressive results
"the characters are based on stock clichés , and the attempt to complicate the story only defies credibility ",0,6883,characters based stock clichés attempt complicate story defies credibility
loves the members of the upper class almost as much as they love themselves ,0,6884,loves members upper class almost much love
passive-aggressive psychology ,1,6885,passive aggressive psychology
manages to be wholesome and subversive at the same time . ,1,6886,manages wholesome subversive time
stifles creativity and ,0,6887,stifles creativity
"... if you , like me , think an action film disguised as a war tribute is disgusting to begin with , then you 're in for a painful ride . ",0,6888,like think action film disguised war tribute disgusting begin painful ride
"because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel ",0,6889,music comic antics perverse pleasure watching disney scrape bottom cracker barrel
"fewer deliberate laughs , more inadvertent ones and stunningly trite ",0,6890,fewer deliberate laughs inadvertent ones stunningly trite
for all of us ,1,6891,us
clear-eyed chronicle ,1,6892,clear eyed chronicle
this trifling romantic comedy in which opposites attract for no better reason than that the screenplay demands it squanders the charms of stars hugh grant and sandra bullock . ,0,6893,trifling romantic comedy opposites attract better reason screenplay demands squanders charms stars hugh grant sandra bullock
a manically generous christmas vaudeville . ,1,6894,manically generous christmas vaudeville
so much more ,1,6895,much
"to have cared much about any aspect of it , from its cheesy screenplay to the grayish quality of its lighting to its last-minute , haphazard theatrical release ",0,6896,cared much aspect cheesy screenplay grayish quality lighting last minute haphazard theatrical release
"richly detailed , deftly executed and ",1,6897,richly detailed deftly executed
"though nijinsky 's words grow increasingly disturbed , the film maintains a beguiling serenity and poise that make it accessible for a non-narrative feature . ",1,6898,though nijinsky words grow increasingly disturbed film maintains beguiling serenity poise make accessible non narrative feature
the film is visually dazzling ,1,6899,film visually dazzling
once amusing ,0,6900,amusing
sex with strangers ,1,6901,sex strangers
a generic international version of a typical american horror film ,0,6902,generic international version typical american horror film
ugly and mindless ,0,6903,ugly mindless
meaty subject ,1,6904,meaty subject
obvious political insights ,1,6905,obvious political insights
that parker displays in freshening the play ,1,6906,parker displays freshening play
that it might as well have been titled generic jennifer lopez romantic comedy ,0,6907,might well titled generic jennifer lopez romantic comedy
would require many sessions on the couch of dr. freud ,0,6908,would require many sessions couch dr freud
as a masterfully made one ,1,6909,masterfully made one
the characters are more deeply thought through than in most ` right-thinking ' films . ,1,6910,characters deeply thought right thinking films
it feels less like bad cinema than like being stuck in a dark pit having a nightmare about bad cinema ,0,6911,feels less like bad cinema like stuck dark pit nightmare bad cinema
is more like something from a bad clive barker movie . ,0,6912,like something bad clive barker movie
a sweet-tempered comedy that forgoes the knee-jerk misogyny that passes for humor in so many teenage comedies . ,1,6913,sweet tempered comedy forgoes knee jerk misogyny passes humor many teenage comedies
's hard to imagine acting that could be any flatter . ,0,6914,hard imagine acting could flatter
"has a lot to do with the casting of juliette binoche as sand , who brings to the role her pale , dark beauty and characteristic warmth ",1,6915,lot casting juliette binoche sand brings role pale dark beauty characteristic warmth
very very strong ,1,6916,strong
this cinderella story does n't have a single surprise up its sleeve . ,0,6917,cinderella story n single surprise sleeve
emerges as another key contribution to the flowering of the south korean cinema ,1,6918,emerges another key contribution flowering south korean cinema
oddly colorful ,1,6919,oddly colorful
every shot enhances the excellent performances ,1,6920,every shot enhances excellent performances
to feel good about ,1,6921,feel good
the throes of their first full flush of testosterone ,1,6922,throes first full flush testosterone
jacquot 's strategy allows his cast the benefit of being able to give full performances ... while demonstrating vividly that the beauty and power of the opera reside primarily in the music itself . ,1,6923,jacquot strategy allows cast benefit able give full performances demonstrating vividly beauty power opera reside primarily music
of its oscar nomination ,1,6924,oscar nomination
both sitcomishly predictable and cloying in its attempts ,0,6925,sitcomishly predictable cloying attempts
sets itself apart by forming a chain of relationships that come full circle to end on a positive ( if tragic ) note ,1,6926,sets apart forming chain relationships come full circle end positive tragic note
"very funny , very enjoyable ... ",1,6927,funny enjoyable
"the proficient , dull sorvino has no light touch , and rodan is out of his league ",0,6928,proficient dull sorvino light touch rodan league
of his best-known creation ,1,6929,best known creation
toback 's deranged immediacy makes it seem fresh again . ,1,6930,toback deranged immediacy makes seem fresh
's technically sumptuous but also almost wildly alive . ,1,6931,technically sumptuous also almost wildly alive
steers refreshingly clear of the usual cliches ,1,6932,steers refreshingly clear usual cliches
` stoked ,1,6933,stoked
too much ,0,6934,much
"... if it had been only half-an-hour long or a tv special , the humor would have been fast and furious -- at ninety minutes , it drags . ",0,6935,half hour long tv special humor would fast furious ninety minutes drags
"lots of boring talking heads , etc . ",0,6936,lots boring talking heads etc
little less bling-bling ,0,6937,little less bling bling
an original bone ,1,6938,original bone
"good , hard-edged stuff ",1,6939,good hard edged stuff
cannon 's confidence and ,1,6940,cannon confidence
has a film 's title served such dire warning ,0,6941,film title served dire warning
"a persistent theatrical sentiment and a woozy quality to the manner of the storytelling , which undercuts the devastatingly telling impact of utter loss personified in the film 's simple title ",0,6942,persistent theatrical sentiment woozy quality manner storytelling undercuts devastatingly telling impact utter loss personified film simple title
demonstrate that his pathology evolved from human impulses that grew hideously twisted ,0,6943,demonstrate pathology evolved human impulses grew hideously twisted
compelling french psychological drama ,1,6944,compelling french psychological drama
marinated in clichés and mawkish dialogue ,0,6945,marinated clichés mawkish dialogue
like the longest 90 minutes of your movie-going life ,0,6946,like longest 90 minutes movie going life
"anyone could desire to the cheap , graceless , hackneyed sci-fi serials of the '30s and '40s ",0,6947,anyone could desire cheap graceless hackneyed sci fi serials 30s 40s
metaphysical ,1,6948,metaphysical
in the art of impossible disappearing/reappearing acts ,1,6949,art impossible disappearing reappearing acts
do n't blame eddie murphy but ,0,6950,n blame eddie murphy
the redeeming feature ,1,6951,redeeming feature
kissing jessica stein is one of the greatest date movies in years . ,1,6952,kissing jessica stein one greatest date movies years
those who want to be jolted out of their gourd should drop everything and run to ichi . ,1,6953,want jolted gourd drop everything run ichi
astronomically bad ,0,6954,astronomically bad
"in the front ranks of china 's now numerous , world-renowned filmmakers ",1,6955,front ranks china numerous world renowned filmmakers
feels less like a cousin to blade runner than like a bottom-feeder sequel in the escape from new york series . ,0,6956,feels less like cousin blade runner like bottom feeder sequel escape new york series
to string together enough charming moments to work ,1,6957,string together enough charming moments work
a purpose and a strong pulse ,1,6958,purpose strong pulse
"sensuality , and ",1,6959,sensuality
at least it 's better than that eponymous 1980 biopic that used soap in the places where the mysteries lingered ,1,6960,least better eponymous 1980 biopic used soap places mysteries lingered
"young , black manhood that is funny , touching , smart and complicated ",1,6961,young black manhood funny touching smart complicated
", it 's also uninspired , lacking the real talent and wit to elevate it beyond its formula to the level of classic romantic comedy to which it aspires . ",0,6962,also uninspired lacking real talent wit elevate beyond formula level classic romantic comedy aspires
suggest that the wayward wooden one end it all by stuffing himself into an electric pencil sharpener ,0,6963,suggest wayward wooden one end stuffing electric pencil sharpener
this slender plot feels especially thin stretched over the nearly 80-minute running time . ,0,6964,slender plot feels especially thin stretched nearly 80 minute running time
what a pity ... that the material is so second-rate . ,0,6965,pity material second rate
living far too much ,0,6966,living far much
fails to portray its literarily talented and notorious subject as anything much more than a dirty old man . ,0,6967,fails portray literarily talented notorious subject anything much dirty old man
riveting performances ,1,6968,riveting performances
on hammy at times ,1,6969,hammy times
means check it out . ,1,6970,means check
desperately wishing you could change tables ,0,6971,desperately wishing could change tables
and finely cut diamond ,1,6972,finely cut diamond
convincing one ,1,6973,convincing one
"the unique niche of self-critical , behind-the-scenes navel-gazing kaufman has carved from orleans ' story ",1,6974,unique niche self critical behind scenes navel gazing kaufman carved orleans story
"heavy-handed symbolism , dime-store psychology and ",0,6975,heavy handed symbolism dime store psychology
... a good film that must have baffled the folks in the marketing department . ,1,6976,good film must baffled folks marketing department
turn stupid ,0,6977,turn stupid
"work , especially since the actresses in the lead roles are all more than competent ",1,6978,work especially since actresses lead roles competent
emotional gravity ,1,6979,emotional gravity
"flawed , ",0,6980,flawed
would sink laurence olivier ,0,6981,would sink laurence olivier
a bad movie ,0,6982,bad movie
( fincher 's ) camera sense and assured pacing make it an above-average thriller . ,1,6983,fincher camera sense assured pacing make average thriller
marvelous documentary touches -- ever so gracefully -- ,1,6984,marvelous documentary touches ever gracefully
it 's refreshing to see a movie that embraces its old-fashioned themes and in the process comes out looking like something wholly original . ,1,6985,refreshing see movie embraces old fashioned themes process comes looking like something wholly original
cusack 's just brilliant in this . ,1,6986,cusack brilliant
hokey ,0,6987,hokey
the shameless self-caricature of ` analyze this ' ( 1999 ) ,0,6988,shameless self caricature analyze 1999
", '' derrida is an undeniably fascinating and playful fellow . ",1,6989,derrida undeniably fascinating playful fellow
the food is enticing ,1,6990,food enticing
broken ,0,6991,broken
bit of piffle . ,0,6992,bit piffle
"the idea of why human beings long for what they do n't have , and how this gets us in trouble ",0,6993,idea human beings long n gets us trouble
the mothman prophecies is best when illustrating the demons bedevilling the modern masculine journey . ,1,6994,mothman prophecies best illustrating demons bedevilling modern masculine journey
substantial depth ,1,6995,substantial depth
drowsy ,0,6996,drowsy
warm and well-told tale ,1,6997,warm well told tale
"stroked , luridly colored , uni-dimensional nonsense machine that strokes the eyeballs while it evaporates like so much crypt mist in the brain . ",0,6998,stroked luridly colored uni dimensional nonsense machine strokes eyeballs evaporates like much crypt mist brain
of faith ,1,6999,faith
are fun and reminiscent of combat scenes ,1,7000,fun reminiscent combat scenes
how ridiculous and money-oriented ,0,7001,ridiculous money oriented
is quite a vision . ,1,7002,quite vision
immediate inclination to provide a fourth book ,1,7003,immediate inclination provide fourth book
original film ,1,7004,original film
"of a movie so sloppy , so uneven , so damn unpleasant that i ca n't believe any viewer , young or old , ",0,7005,movie sloppy uneven damn unpleasant ca n believe viewer young old
stretched over the nearly 80-minute running time ,0,7006,stretched nearly 80 minute running time
to convey a sense of childhood imagination ,1,7007,convey sense childhood imagination
for an all-around good time at the movies this summer ,1,7008,around good time movies summer
it does n't matter that the film is less than 90 minutes . ,1,7009,n matter film less 90 minutes
into a laugh-free lecture ,0,7010,laugh free lecture
"does not have , beginning with the minor omission of a screenplay ",0,7011,beginning minor omission screenplay
", gut-clutching piece ",1,7012,gut clutching piece
somewhat backhanded ,0,7013,somewhat backhanded
epic scope ,1,7014,epic scope
in any way demeaning its subjects ,0,7015,way demeaning subjects
caught up in an intricate plot ,1,7016,caught intricate plot
worth the journey ,1,7017,worth journey
have received such a sophisticated and unsentimental treatment on the big screen as they do in this marvelous film . ,1,7018,received sophisticated unsentimental treatment big screen marvelous film
a full-length classic ,1,7019,full length classic
a muddled limp biscuit ,0,7020,muddled limp biscuit
enduring ,1,7021,enduring
a lost ideal ,0,7022,lost ideal
"sharper , cleaner ",1,7023,sharper cleaner
depressingly retrograde ,0,7024,depressingly retrograde
the subtitles fool you ,0,7025,subtitles fool
be an enjoyable choice for younger kids ,1,7026,enjoyable choice younger kids
another run-of-the-mill disney sequel intended for the home video market ,0,7027,another run mill disney sequel intended home video market
ultimately delivers ,1,7028,ultimately delivers
is strong as always . ,1,7029,strong always
would be like to be smack in the middle of a war zone armed with nothing but a camera ,1,7030,would like smack middle war zone armed nothing camera
soap-opera ,0,7031,soap opera
"an intelligent , multi-layered and profoundly humanist ( not to mention gently political ) meditation on the values of knowledge , education , and the ",1,7032,intelligent multi layered profoundly humanist mention gently political meditation values knowledge education
surprising romance ,1,7033,surprising romance
off-puttingly ,0,7034,puttingly
sporadic dips ,1,7035,sporadic dips
best script ,1,7036,best script
"und drung , but explains its characters ' decisions only unsatisfactorily . ",0,7037,und drung explains characters decisions unsatisfactorily
action clichés ,0,7038,action clichés
a companionable couple ,1,7039,companionable couple
the more hackneyed elements of the film easier to digest ,0,7040,hackneyed elements film easier digest
"big fat liar is little more than home alone raised to a new , self-deprecating level . ",0,7041,big fat liar little home alone raised new self deprecating level
for the ridicule factor ,0,7042,ridicule factor
is so prolonged and boring ,0,7043,prolonged boring
"the margin that gives viewers a chance to learn , to grow , to travel ",1,7044,margin gives viewers chance learn grow travel
chaos ,0,7045,chaos
is familiar but enjoyable . ,1,7046,familiar enjoyable
been smoother or more confident ,1,7047,smoother confident
made me want to pack raw dough in my ears . ,0,7048,made want pack raw dough ears
", purposeless ",0,7049,purposeless
is easily ,1,7050,easily
"riveted with every painful nuance , unexpected flashes of dark comedy and the character 's gripping humanity ",1,7051,riveted every painful nuance unexpected flashes dark comedy character gripping humanity
"enriched by an imaginatively mixed cast of antic spirits , headed by christopher plummer as the subtlest and most complexly evil uncle ralph i 've ever seen in the many film and stage adaptations of the work ",1,7052,enriched imaginatively mixed cast antic spirits headed christopher plummer subtlest complexly evil uncle ralph ever seen many film stage adaptations work
"it takes you somewhere you 're not likely to have seen before , but beneath the exotic surface ( and exotic dancing ) it 's surprisingly old-fashioned . ",1,7053,takes somewhere likely seen beneath exotic surface exotic dancing surprisingly old fashioned
teenage sex comedy ,1,7054,teenage sex comedy
rick ,1,7055,rick
", rather than forcing us to endure every plot contrivance that the cliché-riddled genre can offer ",0,7056,rather forcing us endure every plot contrivance cliché riddled genre offer
unsung heroes ,1,7057,unsung heroes
that takes too long to shake ,0,7058,takes long shake
of the rare directors who feels acting is the heart and soul of cinema ,1,7059,rare directors feels acting heart soul cinema
could hardly ask for more . ,1,7060,could hardly ask
you shoot something on crummy-looking videotape ,0,7061,shoot something crummy looking videotape
in which a guy dressed as a children 's party clown gets violently gang-raped ,0,7062,guy dressed children party clown gets violently gang raped
one of the smartest ,1,7063,one smartest
was right to cut ,1,7064,right cut
has created a beautiful canvas ,1,7065,created beautiful canvas
's a very very strong `` b + . ,1,7066,strong b
"further sad evidence that tom tykwer , director of the resonant and sense-spinning run lola run , has turned out to be a one-trick pony -- a maker of softheaded metaphysical claptrap . ",0,7067,sad evidence tom tykwer director resonant sense spinning run lola run turned one trick pony maker softheaded metaphysical claptrap
it fails ,0,7068,fails
storytelling is far more appealing ,1,7069,storytelling far appealing
"it cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you . ",1,7070,cuts core actually means face fears girl world boys boy truly love girl ride big metaphorical wave life wherever takes
when it is n't merely offensive ,0,7071,n merely offensive
is a must for genre fans . ,1,7072,must genre fans
it never bothers to question why somebody might devote time to see it ,0,7073,never bothers question somebody might devote time see
"a more confused , less interesting and more sloppily made film could possibly come down the road in 2002 ",0,7074,confused less interesting sloppily made film could possibly come road 2002
the young stars are too cute ; ,1,7075,young stars cute
"the director , with his fake backdrops and stately pacing , never settles on a consistent tone . ",0,7076,director fake backdrops stately pacing never settles consistent tone
personal low ,0,7077,personal low
the most multilayered and sympathetic female characters of the year ,1,7078,multilayered sympathetic female characters year
is sappy and amateurish ,0,7079,sappy amateurish
are very expressive . ,1,7080,expressive
"alone , should scare any sane person away . ",0,7081,alone scare sane person away
turning in some delightful work on indie projects ,1,7082,turning delightful work indie projects
his most sparkling ,1,7083,sparkling
quickly writes himself into a corner ,0,7084,quickly writes corner
career - kids = misery ,0,7085,career kids misery
emaciated ,0,7086,emaciated
"kiddie entertainment , ",1,7087,kiddie entertainment
not only better ,1,7088,better
of the idealistic kid who chooses to champion his ultimately losing cause ,1,7089,idealistic kid chooses champion ultimately losing cause
from this choppy and sloppy affair ,0,7090,choppy sloppy affair
"is smart , not cloying . ",1,7091,smart cloying
inquisitive film ,1,7092,inquisitive film
's a spectacular performance - ahem ,1,7093,spectacular performance ahem
career-defining ,1,7094,career defining
is painfully foolish in trying to hold onto what 's left of his passe ' chopsocky glory ,0,7095,painfully foolish trying hold onto left passe chopsocky glory
"like the full monty , this is sure to raise audience 's spirits and leave them singing long after the credits roll . ",1,7096,like full monty sure raise audience spirits leave singing long credits roll
"serves as auto-critique , and its clumsiness as its own most damning censure ",0,7097,serves auto critique clumsiness damning censure
frustrating and ,0,7098,frustrating
canada 's arctic light ,1,7099,canada arctic light
"pretty much sucks , but has a funny moment or two . ",0,7100,pretty much sucks funny moment two
any scorsese ,0,7101,scorsese
make mel brooks ' borscht belt schtick look sophisticated ,1,7102,make mel brooks borscht belt schtick look sophisticated
rich ,1,7103,rich
but it would be better to wait for the video . ,0,7104,would better wait video
this is a heartfelt story ... it just is n't a very involving one . ,0,7105,heartfelt story n involving one
of extravagant ,1,7106,extravagant
", an archetypal desire to enjoy good trash every now and then . ",0,7107,archetypal desire enjoy good trash every
choppy and ,0,7108,choppy
", it 'll only put you to sleep . ",0,7109,put sleep
"like the original , this version is raised a few notches above kiddie fantasy pablum by allen 's astringent wit . ",1,7110,like original version raised notches kiddie fantasy pablum allen astringent wit
moonlight mile does n't quite go the distance but ,0,7111,moonlight mile n quite go distance
about movie love ,1,7112,movie love
it could have been a hoot in a bad-movie way if the laborious pacing and endless exposition had been tightened ,0,7113,could hoot bad movie way laborious pacing endless exposition tightened
"they 're the unnamed , easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid . ",0,7114,unnamed easily substitutable forces serve whatever terror heroes horror movies try avoid
hugely enjoyable in its own right though ,1,7115,hugely enjoyable right though
a bigger-name cast ,1,7116,bigger name cast
crafted a solid formula for successful animated movies ,1,7117,crafted solid formula successful animated movies
everyone making it ,1,7118,everyone making
soderbergh 's best films ,1,7119,soderbergh best films
coming-of-age film ,1,7120,coming age film
been deemed important enough to make a film in which someone has to be hired to portray richard dawson ,1,7121,deemed important enough make film someone hired portray richard dawson
actually manages to bring something new into the mix ,1,7122,actually manages bring something new mix
having fun with it all ,1,7123,fun
smeary ,0,7124,smeary
"of making kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work ",1,7125,making kahlo art living breathing part movie often catapulting artist work
fosters moments of spontaneous intimacy ,1,7126,fosters moments spontaneous intimacy
"the acting is amateurish , the cinematography is atrocious , ",0,7127,acting amateurish cinematography atrocious
terrible as the synergistic impulse that created it ,0,7128,terrible synergistic impulse created
"this odd , poetic road movie , spiked by jolts of pop music , ",1,7129,odd poetic road movie spiked jolts pop music
charged ,1,7130,charged
"is extremely funny , the first part making up for any flaws that come later ",1,7131,extremely funny first part making flaws come later
to say that this vapid vehicle is downright doltish and uneventful ,0,7132,say vapid vehicle downright doltish uneventful
"satin rouge is not a new , or inventive , journey ",0,7133,satin rouge new inventive journey
self-consciously flashy camera effects ,0,7134,self consciously flashy camera effects
a dim-witted pairing of teen-speak and animal gibberish ,0,7135,dim witted pairing teen speak animal gibberish
it skirts around any scenes that might have required genuine acting from ms. spears ,0,7136,skirts around scenes might required genuine acting ms spears
cold-hearted ,0,7137,cold hearted
existential suffering ,0,7138,existential suffering
"its ripe recipe , inspiring ingredients ",1,7139,ripe recipe inspiring ingredients
meticulously uncovers a trail of outrageous force and craven concealment . ,1,7140,meticulously uncovers trail outrageous force craven concealment
would be consigned to the dustbin of history ,0,7141,would consigned dustbin history
"a thriller whose style , structure and rhythms are so integrated with the story ",1,7142,thriller whose style structure rhythms integrated story
the wonderfully lush morvern callar ,1,7143,wonderfully lush morvern callar
the movie is hardly a masterpiece ,0,7144,movie hardly masterpiece
clichéd ,0,7145,clichéd
stays close to the ground ,1,7146,stays close ground
hated myself in the morning . ,0,7147,hated morning
"it 's provocative stuff , but the speculative effort is hampered by taylor 's cartoonish performance and the film 's ill-considered notion that hitler 's destiny was shaped by the most random of chances . ",0,7148,provocative stuff speculative effort hampered taylor cartoonish performance film ill considered notion hitler destiny shaped random chances
"know why steven seagal is considered a star , nor why he keeps being cast in action films when none of them are ever any good or make any money ",0,7149,know steven seagal considered star keeps cast action films none ever good make money
", yet not as hilariously raunchy as south park , this strangely schizo cartoon seems suited neither to kids or adults . ",0,7150,yet hilariously raunchy south park strangely schizo cartoon seems suited neither kids adults
interesting and at times ,1,7151,interesting times
swaggers through his scenes ,1,7152,swaggers scenes
cinematic tone poem ,1,7153,cinematic tone poem
"another wholly unnecessary addition to the growing , moldering pile of , well , extreme stunt ",0,7154,another wholly unnecessary addition growing moldering pile well extreme stunt
make a film in which someone has to be hired to portray richard dawson ,0,7155,make film someone hired portray richard dawson
inherently caustic and ,0,7156,inherently caustic
that it 's too close to real life to make sense ,0,7157,close real life make sense
"it 's light on the chills and heavy on the atmospheric weirdness , ",1,7158,light chills heavy atmospheric weirdness
winds up feeling like a great missed opportunity ,0,7159,winds feeling like great missed opportunity
forgive its mean-spirited second half ,0,7160,forgive mean spirited second half
not funny performers ,0,7161,funny performers
is a lame kiddie flick ,0,7162,lame kiddie flick
thoroughly overbearing ,0,7163,thoroughly overbearing
that are lean and tough enough to fit in any modern action movie ,1,7164,lean tough enough fit modern action movie
two hours of junk ,0,7165,two hours junk
successes ,1,7166,successes
and revolutionary spirit ,1,7167,revolutionary spirit
dramatically lackluster ,0,7168,dramatically lackluster
remarkably faithful one ,1,7169,remarkably faithful one
"considering that baird is a former film editor , the movie is rather choppy . ",0,7170,considering baird former film editor movie rather choppy
"as good as the full monty , but a really strong second effort . ",1,7171,good full monty really strong second effort
no surprises . ,0,7172,surprises
is oppressively heavy ,0,7173,oppressively heavy
somewhat less ,0,7174,somewhat less
are moments of hilarity to be had ,1,7175,moments hilarity
nutty cliches and far too much dialogue ,0,7176,nutty cliches far much dialogue
welcomed ,1,7177,welcomed
a formula that worked five years ago but has since lost its fizz ,0,7178,formula worked five years ago since lost fizz
an unexpectedly sweet story of sisterhood . ,1,7179,unexpectedly sweet story sisterhood
washed away by sumptuous ocean visuals and the cinematic stylings of director john stockwell ,1,7180,washed away sumptuous ocean visuals cinematic stylings director john stockwell
with some real shocks in store for unwary viewers . ,1,7181,real shocks store unwary viewers
live-action cartoon ,0,7182,live action cartoon
useless actioners ,0,7183,useless actioners
uneven dialogue and plot lapses ,0,7184,uneven dialogue plot lapses
"a deliberative account of a lifestyle characterized by its surface-obsession -- one that typifies the delirium of post , pre , and extant stardom . ",1,7185,deliberative account lifestyle characterized surface obsession one typifies delirium post pre extant stardom
tries so hard to be quirky and funny that the strain is all too evident ,0,7186,tries hard quirky funny strain evident
virtually no one ,0,7187,virtually one
still-inestimable contribution ,1,7188,still inestimable contribution
that not only would subtlety be lost on the target audience ,0,7189,would subtlety lost target audience
while we delight in the images ,1,7190,delight images
may sound like it was co-written by mattel executives and lobbyists for the tinsel industry ,0,7191,may sound like co written mattel executives lobbyists tinsel industry
fascinating part ,1,7192,fascinating part
it should have stayed there . ,0,7193,stayed
"smart , funny look ",1,7194,smart funny look
walk to remember a niche hit ,1,7195,walk remember niche hit
hole-ridden plotting ,0,7196,hole ridden plotting
lost in the translation ,0,7197,lost translation
seems twice as long as its 83 minutes ,0,7198,seems twice long 83 minutes
it 's hard to imagine another director ever making his wife look so bad in a major movie . ,0,7199,hard imagine another director ever making wife look bad major movie
"so it 's not a brilliant piece of filmmaking , but it is a funny ( sometimes hilarious ) comedy with a deft sense of humor about itself , a playful spirit and a game cast . ",1,7200,brilliant piece filmmaking funny sometimes hilarious comedy deft sense humor playful spirit game cast
disconnects ,0,7201,disconnects
amazingly evocative ,1,7202,amazingly evocative
weird that i honestly never knew what the hell was coming next ,1,7203,weird honestly never knew hell coming next
have a résumé loaded with credits like `` girl in bar # 3 ,0,7204,résumé loaded credits like girl bar 3
"viscerally exciting , and dramatically moving ",1,7205,viscerally exciting dramatically moving
whose legacy had begun to bronze ,1,7206,whose legacy begun bronze
extant stardom ,1,7207,extant stardom
's not going to be everyone 's bag of popcorn ,0,7208,going everyone bag popcorn
bibbidy-bobbidi-bland . ,0,7209,bibbidy bobbidi bland
soulless . ,0,7210,soulless
dragons ! ,1,7211,dragons
been replaced by the bottom of the barrel ,0,7212,replaced bottom barrel
an increasingly important film industry ,1,7213,increasingly important film industry
hip-hop fan to appreciate scratch ,1,7214,hip hop fan appreciate scratch
hilarious and sad ,1,7215,hilarious sad
involving than this mess ,0,7216,involving mess
are lukewarm and quick to pass . ,0,7217,lukewarm quick pass
poorly ,0,7218,poorly
captivating ,1,7219,captivating
integrity ,1,7220,integrity
cardiac ,0,7221,cardiac
is an inexpressible and drab wannabe looking for that exact niche . ,0,7222,inexpressible drab wannabe looking exact niche
